,Equity,DrawdownPct,DrawdownDuration
2024-01-10 18:45:00+00:00,999995711.2759596,4.382789683066157e-06,
2024-01-10 19:00:00+00:00,999995718.694743,4.375370900366882e-06,
2024-01-10 19:15:00+00:00,999995686.7340313,4.407331609002085e-06,
2024-01-10 19:30:00+00:00,999995739.7339092,4.354331736067252e-06,
2024-01-10 19:45:00+00:00,999995762.0392605,4.332026386943966e-06,
2024-01-10 20:00:00+00:00,999995680.8375272,4.413228112620793e-06,
2024-01-10 20:15:00+00:00,999995582.5612326,4.51150439795267e-06,
2024-01-10 20:30:00+00:00,999995453.9898885,4.6400757298670214e-06,
2024-01-10 20:45:00+00:00,999995417.7235574,4.676342057696736e-06,
2024-01-11 14:30:00+00:00,999995366.4184443,4.727647165969628e-06,
2024-01-11 14:45:00+00:00,999995147.6817006,4.946383889037342e-06,
2024-01-11 15:00:00+00:00,999994927.8882828,5.166177286186624e-06,
2024-01-11 15:15:00+00:00,999994980.5846939,5.113480880059029e-06,
2024-01-11 15:30:00+00:00,999994965.5853043,5.128480268234981e-06,
2024-01-11 15:45:00+00:00,999994857.586647,5.236478915371379e-06,
2024-01-11 16:00:00+00:00,999994766.5862808,5.327479272954072e-06,
2024-01-11 16:15:00+00:00,999994774.584938,5.319480616550187e-06,
2024-01-11 16:30:00+00:00,999994720.7631762,5.373302373268274e-06,
2024-01-11 16:45:00+00:00,999994629.1099108,5.464955630030133e-06,
2024-01-11 17:00:00+00:00,999994694.6097888,5.399455758281491e-06,
2024-01-11 17:15:00+00:00,999994789.6110095,5.3044545464953075e-06,
2024-01-11 17:30:00+00:00,999994818.282086,5.2757834726469e-06,
2024-01-11 17:45:00+00:00,999994707.7650633,5.386300484966355e-06,
2024-01-11 18:00:00+00:00,999994755.7631102,5.33830244264788e-06,
2024-01-11 18:15:00+00:00,999994741.2642088,5.352801342617397e-06,
2024-01-11 18:30:00+00:00,999994710.2644529,5.383801095604213e-06,
2024-01-11 18:45:00+00:00,999994822.2731199,5.271792439143219e-06,
2024-01-11 19:00:00+00:00,999994871.7634764,5.222302087326547e-06,
2024-01-11 19:15:00+00:00,999994855.7631102,5.238302452026389e-06,
2024-01-11 19:30:00+00:00,999994839.7657957,5.254299764945181e-06,
2024-01-11 19:45:00+00:00,999994892.869103,5.2011964627451945e-06,
2024-01-11 20:00:00+00:00,999994703.7855889,5.390279959049948e-06,
2024-01-11 20:15:00+00:00,999994650.8387078,5.4432268351556345e-06,
2024-01-11 20:30:00+00:00,999994674.8377312,5.419227813940886e-06,
2024-01-11 20:45:00+00:00,999994671.8378533,5.422227691620485e-06,
2024-01-12 14:30:00+00:00,999995009.8383416,5.084227235108152e-06,
2024-01-12 14:45:00+00:00,999994796.4233636,5.2976421930361894e-06,
2024-01-12 15:00:00+00:00,999994781.5461633,5.312519391842407e-06,
2024-01-12 15:15:00+00:00,999994638.3644067,5.455701135081981e-06,
2024-01-12 15:30:00+00:00,999994636.3624536,5.457703088018739e-06,
2024-01-12 15:45:00+00:00,999994540.9249187,5.5531406139008865e-06,
2024-01-12 16:00:00+00:00,999994538.9824748,5.555083057551258e-06,
2024-01-12 16:15:00+00:00,999994538.9824748,5.555083057551258e-06,
2024-01-12 16:30:00+00:00,999994516.4849162,5.577580614035682e-06,
2024-01-12 16:45:00+00:00,999994502.5841594,5.5914813695823185e-06,
2024-01-12 17:00:00+00:00,999994592.9833293,5.501082208203556e-06,
2024-01-12 17:15:00+00:00,999994566.4849162,5.527580618780448e-06,
2024-01-12 17:30:00+00:00,999994617.9833293,5.476082210575939e-06,
2024-01-12 17:45:00+00:00,999994626.9829631,5.467082577537141e-06,
2024-01-12 18:00:00+00:00,999994678.5322156,5.415533329888866e-06,
2024-01-12 18:15:00+00:00,999994584.1185377,5.509946998993875e-06,
2024-01-12 18:30:00+00:00,999994634.3260572,5.459739484181547e-06,
2024-01-12 18:45:00+00:00,999994636.6179273,5.457447614265476e-06,
2024-01-12 19:00:00+00:00,999994653.2866285,5.44077891462269e-06,
2024-01-12 19:15:00+00:00,999994658.1175611,5.435947982523892e-06,
2024-01-12 19:30:00+00:00,999994602.6182935,5.4914472448208684e-06,
2024-01-12 19:45:00+00:00,999994598.1169508,5.495948587230792e-06,
2024-01-12 20:00:00+00:00,999994564.117317,5.529948217786185e-06,
2024-01-12 20:15:00+00:00,999994561.117439,5.532948095465784e-06,
2024-01-12 20:30:00+00:00,999994579.1167066,5.514948829610233e-06,
2024-01-12 20:45:00+00:00,999994583.1175611,5.510947975406744e-06,
2024-01-16 14:30:00+00:00,999994227.1178052,5.866947697774627e-06,
2024-01-16 14:45:00+00:00,999994127.9382948,5.966127198941962e-06,
2024-01-16 15:00:00+00:00,999994321.778121,5.772287390959363e-06,
2024-01-16 15:15:00+00:00,999994208.1931417,5.885872359612243e-06,
2024-01-16 15:30:00+00:00,999994178.1913106,5.915874187856218e-06,
2024-01-16 15:45:00+00:00,999994147.7927511,5.9462727445280805e-06,
2024-01-16 16:00:00+00:00,999994120.1381366,5.973927356350828e-06,
2024-01-16 16:15:00+00:00,999994093.3081806,6.000757309942983e-06,
